iter	Passed	Remaining
566	38064	29068
567	38128	28999
568	38190	28928
569	38262	28864
570	38324	28793
571	38389	28724
572	38468	28666
573	38527	28593
574	38580	28515
575	38638	28442
576	38710	28379
577	38771	28307
578	38826	28231
579	38900	28169
580	38959	28096
581	39037	28037
582	39166	28014
583	39244	27954
584	39333	27903
585	39429	27856
586	39491	27785
587	39591	27740
588	39675	27685
589	39744	27618
590	39845	27574
591	39981	27554
592	40079	27508
593	40229	27496
594	40344	27461
595	40469	27432
596	40554	27376
597	40616	27304
598	40692	27241
599	40759	27172
600	40837	27111
601	40933	27062
602	41070	27040
603	41171	26993
604	41268	26943
605	41380	26903
606	41466	26847
607	41560	26795
608	41720	26786
609	41839	26750
610	41958	26713
611	42030	26646
612	42101	26579
613	42170	26511
614	42253	26451
615	42328	26386
616	42426	26335
617	42516	26280
618	42595	26218
619	42710	26177
620	42782	26110
621	42861	26047
622	42950	25991
623	43061	25947
624	43148	25889
625	43248	25838
626	43316	25768
627	43389	25701
628	43461	25634
629	43542	25572
630	43600	25497
631	43669	25427
632	43740	25359
633	43805	25288
634	43877	25221
635	43960	25159
636	44031	25091
637	44100	25022
638	44174	24956
639	44253	24892
640	44328	24826
641	44404	24761
642	44492	24702
643	44562	24633
644	44632	24565
645	44701	24495
646	44792	24438
647	44874	24376
648	44958	24314
649	45026	24244
650	45099	24177
651	45180	24114
652	45256	24048
653	45322	23977
654	45389	23907
655	45457	23837
656	45533	23771
657	45600	23701
658	45667	23630
659	45747	23566
660	45821	23499
661	45907	23439
662	45982	23372
663	46044	23299
664	46126	23236
665	46203	23171
666	46269	23099
667	46343	23032
668	46411	22963
669	46477	22892
670	46536	22817
671	46610	22750
672	46708	22695
673	46773	22623
674	46841	22553
675	46912	22484
676	46994	22421
677	47073	22356
678	47137	22284
679	47207	22215
680	47283	22149
681	47364	22084
682	47429	22013
683	47504	21946
684	47593	21886
685	47659	21814
686	47719	21741
687	47785	21670
688	47847	21597
689	47922	21530
690	47998	21463
691	48060	21391
692	48134	21323
693	48194	21249
694	48253	21176
695	48334	21111
696	48396	21038
697	48461	20967
698	48524	20895
699	48580	20820
700	48642	20747
701	48700	20673
702	48772	20605
703	48827	20529
704	48888	20457
705	48941	20380
706	49010	20311
707	49075	20240
708	49138	20168
709	49204	20097
710	49262	20023
711	49315	19948
712	49376	19875
713	49436	19802
714	49518	19738
715	49582	19666
716	49655	19599
717	49712	19525
718	49774	19452
719	49837	19381
720	49895	19307
721	49955	19234
722	50020	19164
723	50089	19094
724	50152	19023
725	50215	18951
726	50285	18882
727	50351	18812
728	50416	18741
729	50485	18672
730	50547	18600
731	50616	18531
732	50664	18454
733	50725	18382
734	50789	18311
735	50855	18241
736	50926	18173
737	50993	18103
738	51055	18031
739	51125	17962
740	51187	17891
741	51249	17819
742	51313	17749
743	51386	17681
744	51449	17610
745	51515	17540
746	51578	17469
747	51644	17399
748	51697	17324
749	51767	17255
750	51833	17185
751	51892	17113
752	51949	17040
753	52010	16969
754	52071	16897
755	52139	16828
756	52224	16764
757	52289	16693
758	52364	16626
759	52427	16555
760	52489	16484
761	52549	16413
762	52617	16343
763	52684	16274
764	52764	16208
765	52822	16136
766	52879	16063
767	52939	15991
768	53003	15921
769	53072	15852
770	53155	15788
771	53216	15716
772	53284	15647
773	53349	15577
774	53412	15506
775	53476	15436
776	53542	15366
777	53601	15294
778	53661	15223
779	53726	15153
780	53787	15082
781	53851	15012
782	53925	14944
783	53989	14874
784	54071	14809
785	54131	14738
786	54196	14668
787	54264	14599
788	54337	14531
789	54453	14474
790	54520	14405
791	54594	14337
792	54661	14268
793	54738	14201
794	54815	14134
795	54881	14064
796	54955	13997
797	55028	13929
798	55093	13859
799	55157	13789
800	55211	13716
801	55282	13648
802	55347	13578
803	55408	13507
804	55469	13436
805	55537	13367
806	55606	13298
807	55688	13232
808	55803	13174
809	55903	13113
810	55962	13041
811	56030	12972
812	56092	12901
813	56166	12834
814	56225	12762
815	56282	12691
816	56346	12621
817	56411	12551
818	56485	12483
819	56552	12414
820	56622	12345
821	56682	12274
822	56746	12204
823	56808	12133
824	56868	12062
825	56943	11995
826	57010	11925
827	57077	11856
828	57137	11785
829	57196	11714
830	57256	11644
831	57324	11575
832	57388	11505
833	57456	11436
834	57522	11366
835	57593	11298
836	57670	11230
837	57745	11163
838	57825	11096
839	57896	11027
840	57971	10960
841	58043	10891
842	58114	10823
843	58179	10753
844	58243	10683
845	58302	10612
846	58372	10544
847	58446	10476
848	58507	10405
849	58573	10336
850	58638	10266
851	58717	10199
852	58786	10130
853	58847	10060
854	58905	9989
855	58970	9920
856	59039	9851
857	59098	9780
858	59155	9710
859	59225	9641
860	59284	9570
861	59344	9500
862	59406	9430
863	59466	9360
864	59529	9290
865	59600	9222
866	59672	9153
867	59734	9084
868	59805	9015
869	59866	8945
870	59941	8877
871	60034	8812
872	60126	8746
873	60214	8680
874	60308	8615
875	60394	8549
876	60458	8479
877	60567	8415
878	60653	8349
879	60713	8279
880	60785	8210
881	60840	8139
882	60907	8070
883	60966	8000
884	61026	7929
885	61100	7861
886	61163	7792
887	61228	7722
888	61290	7652
889	61357	7583
890	61417	7513
891	61483	7444
892	61554	7375
893	61616	7305
894	61681	7236
895	61753	7167
896	61818	7098
897	61879	7028
898	61924	6957
899	62003	6889
900	62096	6823
901	62163	6753
902	62227	6684
903	62295	6615
904	62361	6546
905	62437	6478
906	62519	6410
907	62579	6340
908	62646	6271
909	62709	6202
910	62788	6134
911	62889	6068
912	63043	6007
913	63171	5943
914	63233	5874
915	63306	5805
916	63378	5736
917	63433	5666
918	63497	5596
919	63558	5526
920	63627	5457
921	63692	5388
922	63759	5319
923	63826	5249
924	63887	5180
925	63944	5110
926	64005	5040
927	64077	4971
928	64141	4902
929	64213	4833
930	64282	4764
931	64343	4694
932	64402	4624
933	64467	4555
934	64527	4485
935	64586	4416
936	64648	4346
937	64720	4277
938	64784	4208
939	64840	4138
940	64899	4069
941	64958	3999
942	65017	3930
943	65090	3861
944	65159	3792
945	65219	3722
946	65283	3653
947	65344	3584
948	65404	3514
949	65463	3445
950	65533	3376
951	65604	3307
952	65664	3238
953	65737	3169
954	65793	3100
955	65851	3030
956	65913	2961
957	66008	2893
958	66071	2824
959	66130	2755
960	66199	2686
961	66259	2617
962	66313	2547
963	66368	2478
964	66449	2410
965	66526	2341
966	66592	2272
967	66655	2203
968	66713	2134
969	66776	2065
970	66844	1996
971	66913	1927
972	66974	1858
973	67041	1789
974	67101	1720
975	67176	1651
976	67235	1582
977	67309	1514
978	67369	1445
979	67430	1376
980	67495	1307
981	67552	1238
982	67628	1169
983	67684	1100
984	67758	1031
985	67818	962
986	67926	894
987	68014	826
988	68073	757
989	68143	688
990	68211	619
991	68271	550
992	68336	481
993	68399	412
994	68457	344
995	68522	275
996	68592	206
997	68653	137
998	68713	68
999	68770	0
