iter	R2	RMSE
206	0.9185312518	0.2284530622
207	0.91863125	0.2283128126
208	0.9186550289	0.2282794495
209	0.9187633503	0.2281274071
210	0.9188431313	0.2280153596
211	0.9188745689	0.2279711925
212	0.9189653414	0.2278436165
213	0.9190152162	0.2277734897
214	0.9190710708	0.2276949293
215	0.9191136193	0.2276350659
216	0.9192156321	0.2274914755
217	0.9192331783	0.2274667688
218	0.9194303801	0.2271889056
219	0.9195098182	0.2270768788
220	0.9195900245	0.2269637127
221	0.9197104675	0.2267936688
222	0.9198476211	0.2265998773
223	0.9198836102	0.226548999
224	0.9198921521	0.2265369214
225	0.9199941726	0.2263926237
226	0.920036198	0.2263331561
227	0.9202363873	0.2260496663
228	0.9203480293	0.2258914143
229	0.9204980817	0.2256785413
230	0.9206189062	0.2255069865
231	0.9207448052	0.2253280877
232	0.9208709214	0.2251487377
233	0.920998053	0.2249677989
234	0.9211432821	0.2247609249
235	0.921211773	0.2246632958
236	0.9214121266	0.2243774615
237	0.9215408592	0.224193613
238	0.921643028	0.2240475939
239	0.9216800077	0.2239947194
240	0.9218322117	0.2237769623
241	0.9219052452	0.2236723985
242	0.9220801251	0.2234218201
243	0.9220870515	0.2234118896
244	0.9221754627	0.2232850961
245	0.9222775223	0.2231386393
246	0.9223448869	0.2230419176
247	0.9224695331	0.2228628405
248	0.9225731275	0.2227138988
249	0.922670105	0.22257438
250	0.9227517905	0.2224567935
251	0.9228520659	0.2223123618
252	0.9229377566	0.2221888626
253	0.9231583759	0.2218705857
254	0.9232531823	0.2217336725
255	0.9234122924	0.2215037062
256	0.9235206123	0.2213470117
257	0.923606258	0.2212230389
258	0.923703422	0.221082309
259	0.9238715435	0.2208385944
260	0.9239497193	0.2207251764
261	0.9240936358	0.2205162289
262	0.9241512705	0.2204324955
263	0.9242986855	0.2202181817
264	0.9243976447	0.2200741965
265	0.9245404265	0.2198662834
266	0.9246376578	0.2197245865
267	0.9247778202	0.2195201644
268	0.924891439	0.2193543153
269	0.9250438169	0.2191316928
270	0.9251631096	0.2189572494
271	0.9252682582	0.2188033738
272	0.9254379896	0.2185547586
273	0.9255555426	0.218382406
274	0.9256650218	0.2182217686
275	0.9257901239	0.2180380631
276	0.9258699992	0.2179206896
277	0.9260016874	0.217727041
278	0.9261846159	0.2174577569
279	0.9262739182	0.2173261764
280	0.9263747519	0.217177509
281	0.9264590255	0.2170531796
282	0.9265643485	0.2168976957
283	0.9266310629	0.2167991503
284	0.9267076706	0.216685936
285	0.9268306902	0.2165040083
286	0.9269127767	0.2163825295
287	0.9270442451	0.2161878287
288	0.9271040282	0.2160992337
289	0.9272113425	0.2159401093
290	0.9273571666	0.2157236947
291	0.9274354067	0.2156074905
292	0.9275136787	0.2154911764
293	0.9275740303	0.2154014495
294	0.9277179773	0.2151872872
295	0.9277995928	0.2150657662
296	0.9279067507	0.2149061095
297	0.9280201951	0.2147369571
298	0.9280977961	0.2146211726
299	0.9281727907	0.2145092175
300	0.9282404522	0.2144081595
301	0.9283083843	0.2143066493
302	0.9284221819	0.214136495
303	0.9284757085	0.2140564133
304	0.9285719444	0.2139123584
305	0.9286436729	0.2138049255
306	0.9287335567	0.2136702236
307	0.928831593	0.2135232074
308	0.9288901998	0.2134352716
309	0.9289577079	0.2133339352
310	0.9290817305	0.2131476393
311	0.929120431	0.2130894734
312	0.9291778732	0.21300311
313	0.9292700062	0.2128645161
314	0.929329108	0.2127755631
315	0.929421934	0.2126357772
316	0.9294729549	0.2125589061
317	0.929551376	0.212440698
318	0.9296127646	0.2123481178
319	0.9296652015	0.2122690057
320	0.9297213849	0.2121842087
321	0.9297820772	0.2120925682
322	0.929838019	0.2120080656
323	0.9298984761	0.2119167044
324	0.9299514895	0.2118365597
325	0.9300483644	0.2116900273
326	0.9301158993	0.2115878144
327	0.9301588983	0.2115227104
328	0.9302029261	0.211456028
329	0.9302531989	0.2113798614
330	0.9303167432	0.2112835485
331	0.9303648996	0.2112105293
332	0.9304137429	0.211136443
333	0.9304808454	0.2110346183
334	0.9305253657	0.2109670338
335	0.9306164426	0.2108287061
336	0.9306665872	0.2107525077
337	0.9307427423	0.2106367318
338	0.9308175006	0.2105230174
339	0.9308564669	0.2104637216
340	0.9309352667	0.2103437594
341	0.9309935848	0.2102549337
342	0.93105951	0.2101544764
343	0.9311342194	0.2100405754
344	0.9311905019	0.2099547271
345	0.931249375	0.2098648897
346	0.9313334911	0.2097364659
347	0.9313888349	0.2096519273
348	0.9314419118	0.2095708193
349	0.931496275	0.2094877131
350	0.9315374892	0.2094246862
351	0.9316053422	0.2093208804
352	0.9316367847	0.2092727601
353	0.9316743723	0.2092152208
354	0.931729696	0.2091305023
355	0.9317898832	0.209038297
356	0.9318200007	0.2089921425
357	0.931871545	0.2089131282
358	0.9319068546	0.2088589834
359	0.9319600259	0.2087774226
360	0.9320846565	0.2085861234
361	0.9321156117	0.2085385822
362	0.9321701889	0.2084547357
363	0.9322208181	0.2083769243
364	0.9322493116	0.2083331201
365	0.9322984197	0.2082576028
366	0.9323627196	0.2081586826
367	0.9324209951	0.2080689896
368	0.9324624655	0.2080051382
369	0.9325719268	0.207836508
370	0.9326006217	0.2077922796
371	0.9326456166	0.2077229083
372	0.9326908167	0.2076531974
373	0.9327231692	0.2076032865
374	0.9327472716	0.2075660956
375	0.9327736846	0.2075253316
376	0.9328091666	0.2074705585
377	0.9328431867	0.2074180285
378	0.9328812173	0.2073592902
379	0.9329013239	0.2073282289
380	0.9329458835	0.207259375
381	0.9329724609	0.2072182967
382	0.9330016435	0.2071731821
383	0.9330455911	0.2071052233
384	0.9330790607	0.2070534523
385	0.9331205757	0.2069892186
386	0.9331374568	0.2069630938
387	0.9331573553	0.2069322951
388	0.9332076355	0.2068544514
389	0.9332467415	0.2067938874
390	0.9332902367	0.2067265048
391	0.9333112654	0.2066939193
392	0.933340753	0.2066482177
393	0.933365573	0.2066097421
394	0.9334031529	0.206551473
395	0.9334288834	0.2065115673
396	0.9334574543	0.2064672473
397	0.9334772547	0.2064365269
398	0.9335212535	0.206368246
399	0.9335938157	0.2062555888
400	0.9336400383	0.2061837933
401	0.9336738144	0.2061313146
402	0.9337176928	0.2060631198
403	0.9337427929	0.2060240995
404	0.9337867755	0.2059557072
